chord_km,detector_kt,on_symbol_neutrino_MW,raw_symbols_per_s_at_1pct_uncoded_BER,assumed_FEC_rate,assumed_frame_payload_fraction,estimated_payload_bits_per_s_before_resends,illustrative_4_to_1_original_equivalent_bits_per_s
1000,1,1,0.10245521,0.5,0.8,0.04098208,0.16392833
1000,1,10,1.02455209,0.5,0.8,0.40982084,1.63928334
1000,1,100,10.24552089,0.5,0.8,4.09820836,16.39283342
1000,10,1,1.02455209,0.5,0.8,0.40982084,1.63928334
1000,10,10,10.24552089,0.5,0.8,4.09820836,16.39283342
1000,10,100,102.45520888,0.5,0.8,40.98208355,163.92833421
1000,40,1,4.09820836,0.5,0.8,1.63928334,6.55713337
1000,40,10,40.98208355,0.5,0.8,16.39283342,65.57133368
1000,40,100,409.82083551,0.5,0.8,163.92833421,655.71333682
5000,1,1,0.00409821,0.5,0.8,0.00163928,0.00655713
5000,1,10,0.04098208,0.5,0.8,0.01639283,0.06557133
5000,1,100,0.40982084,0.5,0.8,0.16392833,0.65571334
5000,10,1,0.04098208,0.5,0.8,0.01639283,0.06557133
5000,10,10,0.40982084,0.5,0.8,0.16392833,0.65571334
5000,10,100,4.09820836,0.5,0.8,1.63928334,6.55713337
5000,40,1,0.16392833,0.5,0.8,0.06557133,0.26228533
5000,40,10,1.63928334,0.5,0.8,0.65571334,2.62285335
5000,40,100,16.39283342,0.5,0.8,6.55713337,26.22853347
12000,1,1,0.00071149,0.5,0.8,0.0002846,0.00113839
12000,1,10,0.00711495,0.5,0.8,0.00284598,0.01138391
12000,1,100,0.07114945,0.5,0.8,0.02845978,0.11383912
12000,10,1,0.00711495,0.5,0.8,0.00284598,0.01138391
12000,10,10,0.07114945,0.5,0.8,0.02845978,0.11383912
12000,10,100,0.71149451,0.5,0.8,0.2845978,1.13839121
12000,40,1,0.02845978,0.5,0.8,0.01138391,0.04553565
12000,40,10,0.2845978,0.5,0.8,0.11383912,0.45535648
12000,40,100,2.84597802,0.5,0.8,1.13839121,4.55356484
