chord_km,detector_kt,beam_divergence_mrad,selected_efficiency,minimum_neutrino_beam_MW_per_1bps,target_uncoded_BER
1000,1,0.1,0.5,0.09760363,0.01
1000,1,1,0.5,9.76036271,0.01
1000,1,10,0.5,976.03627082,0.01
1000,10,0.1,0.5,0.00976036,0.01
1000,10,1,0.5,0.97603627,0.01
1000,10,10,0.5,97.60362708,0.01
1000,40,0.1,0.5,0.00244009,0.01
1000,40,1,0.5,0.24400907,0.01
1000,40,10,0.5,24.40090677,0.01
5000,1,0.1,0.5,2.44009068,0.01
5000,1,1,0.5,244.00906771,0.01
5000,1,10,0.5,24400.9067706,0.01
5000,10,0.1,0.5,0.24400907,0.01
5000,10,1,0.5,24.40090677,0.01
5000,10,10,0.5,2440.09067706,0.01
5000,40,0.1,0.5,0.06100227,0.01
5000,40,1,0.5,6.10022669,0.01
5000,40,10,0.5,610.02266926,0.01
12000,1,0.1,0.5,14.0549223,0.01
12000,1,1,0.5,1405.49222999,0.01
12000,1,10,0.5,140549.22299863,0.01
12000,10,0.1,0.5,1.40549223,0.01
12000,10,1,0.5,140.549223,0.01
12000,10,10,0.5,14054.92229986,0.01
12000,40,0.1,0.5,0.35137306,0.01
12000,40,1,0.5,35.13730575,0.01
12000,40,10,0.5,3513.73057497,0.01
