density_model,energy_gev,p_mumu_production_eigh,p_mumu_scipy_expm,max_abs_probability_difference
constant,0.5,0.07374050745001975,0.0737405074500183,1.457167719820518e-15
constant,1.0,0.39272958601880653,0.3927295860188082,1.6653345369377348e-15
constant,2.0,0.20149917280687332,0.2014991728068723,1.6653345369377348e-15
constant,2.5,0.016849933790929646,0.016849933790929732,7.771561172376096e-16
constant,3.0,0.06326509698046151,0.06326509698046132,6.661338147750939e-16
constant,5.0,0.48515888879095515,0.485158888790955,3.3306690738754696e-16
constant,8.0,0.7695141648228736,0.7695141648228749,1.3322676295501878e-15
prem,0.5,0.07365862130886482,0.07365862130885309,7.938094626069869e-14
prem,1.0,0.3930430895113063,0.39304308951131606,2.964295475749168e-14
prem,2.0,0.20047444731916236,0.2004744473191725,1.1968204205459188e-13
prem,2.5,0.016364531996412083,0.016364531996409193,8.770761894538737e-14
prem,3.0,0.06310818738185443,0.06310818738184874,5.473399511402022e-14
prem,5.0,0.4852979423554449,0.4852979423554197,3.375077994860476e-14
prem,8.0,0.7696159679133928,0.7696159679134115,1.865174681370263e-14
